Planet,Host Star,Orbital Period (days),Planet Radius (Earth radii),Planet Mass (Earth masses),Equilibrium Temp (K),Semi-Major Axis (AU),Eccentricity ,Stellar Temp (K),Stellar Radius (Solar radii) , Stellar Mass (Solar masses) 
NGTS-17 b,NGTS-17,3.24253,13.89913607,242.820903,1457,0.0391,0,5650,1.337,1.025
TOI-2285 b,TOI-2285,27.26955,1.74,19.5,284,0.1363,0.3,3491,0.464,0.454
TOI-1468 b,TOI-1468,1.8805201,1.401,3.04,683.5,0.02107,0.0099,3376,0.3714,0.3527
TOI-6130 b,TOI-6130,2.392679,14.3474953,333.7198274,1750,0.036,0.036,6110,1.51,1.31
HATS-35 b,HATS-35,1.8209993,16.409976,388.38826,2037,0.03199,0.306,6300,1.433,1.317
NGTS-24 b,NGTS-24,3.4678796,13.60770257,165.2707716,1499,0.0479,0,5820,1.64,1.26
TOI-674 b,TOI-674,1.977143,5.25,23.6,635,0.025,0,3514,0.42,0.42
CoRoT-20 b,CoRoT-20,9.24285,9.42,1347.54,1002,0.0902,0.562,5880,1.02,1.14
TOI-163 b,TOI-163,4.231306,16.690201,387.7526,1669,0.058,0,6495,1.648,1.4352
Qatar-10 b,Qatar-10,1.645321,17.295487,233.92288,1955,0.0286,0,6124,1.254,1.156
WASP-70 A b,WASP-70 A,3.7130203,13.047,187.512,1387,0.04853,0,5763,1.215,1.106
WASP-61 b,WASP-61,3.855898,13.56289,654.7298,1624.4,0.0521,0,6250,1.39,1.27
TOI-2580 b,TOI-2580,3.39775,17.37392009,200.2318964,2410,0.048,0.08,6120,1.81,1.33
TOI-1468 c,TOI-1468,15.532477,2.126,4.1,338.1,0.08608,0.111,3376,0.3714,0.3527
Kepler-101 b,Kepler-101,3.4876812,5.77,51.1,1513,0.0474,0.086,5667,1.56,1.17
GJ 3929 b,GJ 3929,2.616235,1.09,1.75,568,0.0252,0,3384,0.32,0.313
TRAPPIST-1 d,TRAPPIST-1,4.04961,0.772,0.41,288,0.02144,0.07,2559,0.117,0.0802
HATS-12 b,HATS-12,3.142833,15.13215,756.4354,2097,0.04795,0.085,6408,2.21,1.489
WASP-153 b,WASP-153,3.332609,17.37395,123.9537,1700,0.048,0.009,5914,1.73,1.336
TOI-4010 d,TOI-4010,14.70886,6.18,38.15,650,0.113,0.07,4960,0.83,0.88
TOI-1420 b,TOI-1420,6.9561063,11.89,25.1,957,0.071,0.17,5510,0.923,0.987
Wendelstein-2 b,Wendelstein-2,1.7522239,12.9934728,232.33373,2470,0.0234,0.057,4591,0.66,0.73
WASP-123 b,WASP-123,2.9776412,14.773462,285.72917,1520,0.04263,0,5740,1.285,1.166
WASP-102 b,WASP-102,2.709813,14.90794433,197.6892692,1671,0.041,0,5990,1.375,1.08
K2-265 b,K2-265,2.36902,1.70824866,7.3418362,1366,0.03359,0.16,5420,0.92,0.901
Kepler-538 b,Kepler-538,81.73778,2.215,10.6,380,0.4669,0.041,5547,0.8717,0.892
WASP-171 b,WASP-171,3.8186244,10.98482,344.52772,1642,0.0504,0,5965,1.637,1.171
HAT-P-53 b,HAT-P-53,1.9616241,14.773462,471.65972,1778,0.03159,0.134,5956,1.209,1.093
TOI-2373 b,TOI-2373,13.33668,10.42435205,2955.804185,860,0.112,0.112,5651,1.102,1.041
HATS-43 b,HATS-43,4.3888497,13.22662,82.95363,1003,0.04944,0.173,5099,0.812,0.837
TOI-2368 b,TOI-2368,5.1750073,10.83908434,206.5884646,1000,0.05649,0.061,5360,0.846,0.897
