Planet,Host Star,Orbital Period (days),Planet Radius (Earth radii),Planet Mass (Earth masses),Equilibrium Temp (K),Semi-Major Axis (AU),Eccentricity ,Stellar Temp (K),Stellar Radius (Solar radii) , Stellar Mass (Solar masses) 
WASP-150 b,WASP-150,5.644207,11.99363,2688.8418,1460,0.0694,0.3775,6218,1.651,1.394
HATS-71 b,HATS-71,3.7955202,11.478016,117.5971,586.8,0.03745,0,3405,0.4783,0.4861
WASP-193 b,WASP-193,6.2463475,14.78464554,35.59678158,1250,0.0668,0.081,6080,1.213,1.018
HATS-48 A b,HATS-48 A,3.1316666,8.9672,77.23269,954.6,0.03769,0.162,4546,0.7152,0.7279
L 98-59 b,L 98-59,2.2531,0.8,1.01,610,0.02282,0.12,3412,0.314,0.312
L 98-59 c,L 98-59,3.6904,1.35,2.42,517,0.0317,0.07,3412,0.314,0.312
L 98-59 d,L 98-59,7.4512,1.57,2.31,409,0.0506,0.09,3412,0.314,0.312
Wolf 503 b,Wolf 503,6.00127,2.043,6.26,790,0.05706,0.41,4716,0.689,0.688
HAT-P-61 b,HAT-P-61,1.90231289,10.07687365,335.9446262,1505,0.0301,0.113,5587,0.938,1.004
HATS-63 b,HATS-63,3.0566527,13.529263,305.1168,1398.3,0.04026,0.136,5627,1.07,0.931
TOI-1266 c,TOI-1266,18.80151,1.56,2.2,344,0.1058,0.04,3600,0.42,0.45
TOI-763 c,TOI-763,12.2737,2.63,9.32,800,0.1011,0.04,5450,0.897,0.917
WASP-59 b,WASP-59,7.919585,8.687,274.276,670,0.0697,0.1,4650,0.613,0.719
HAT-P-69 b,HAT-P-69,4.7869491,18.786284,1137.8314,1930,0.06555,0,7394,1.926,1.648
TOI-2443 b,TOI-2443,15.66858,2.363,4.8,519,0.105,0.301,4375,0.631,0.642
WASP-174 b,WASP-174,4.2337005,16.10730527,104.8833743,1528,0.05503,0,6399,1.347,1.24
TOI-3837 b,TOI-3837,11.88865,10.87271128,187.5187601,1178,0.099,0.221,5905,1.2,0.89
HATS-24 b,HATS-24,1.3484954,16.667783,775.5052,2067,0.02547,0.242,6346,1.172,1.212
Kepler-68 c,Kepler-68,9.605027,0.979,1.3,1052,0.09008,0.099,5847,1.2564,1.057
K2-136 d,K2-136,25.575,1.565,3,420,0.1538,0.071,4500,0.677,0.742
TOI-1422 b,TOI-1422,12.9972,3.96,9,867,0.108,0.04,5840,1.019,0.981
HATS-38 b,HATS-38,4.375021,6.882326,23.51942,1294,0.05036,0,5732,1.105,0.89
CoRoT-18 b,CoRoT-18,1.9000693,14.68,1102.82,1550,0.0295,0.08,5440,1,0.95
TOI-561 b,TOI-561,0.446573,1.45,3.2,2480,0.01064,0,5326,0.832,0.805
TOI-6303 b,TOI-6303,9.485236,11.59,2493,541,0.0761,0.02,3977,0.609,0.644
K2-260 b,K2-260,2.62669762,18.41635529,546.66486,2090,0.04392,0.053,6860,1.755,1.637
TOI-559 b,TOI-559,6.9839095,12.22899794,1910.148726,1180,0.0723,0.151,5925,1.233,1.026
TOI-4463 A b,TOI-4463 A,2.8807198,13.26022417,252.3557552,1395,0.04036,0,5640,1.062,1.056
TOI-2406 b,TOI-2406,3.0766891,2.86,15.6,449,0.02267,0.17,3100,0.204,0.166
WASP-126 b,WASP-126,3.2888,10.76064,88.9924,1480,0.0449,0.18,5800,1.27,1.12
TOI-6034 b,TOI-6034,2.576184,11.92,254,714,0.02949,0.04,3635,0.489,0.514
Kepler-323 c,Kepler-323,3.5538229,1.57,6.8,1431,0.0458,0.095,6004,1.12,1.015
TOI-2567 b,TOI-2567,5.983944,10.92875618,63.88350981,1352,0.0672,0,5611,1.686,1.13
TOI-500 b,TOI-500,0.548177,1.166,1.42,1617,0.01189,0.063,4440,0.678,0.74
TOI-762 A b,TOI-762 A,3.4716826,8.33948164,79.77493016,555.4,0.03418,0.083,3266,0.425,0.442
Kepler-44 b,Kepler-44,3.24674,13.9,324.17,1603,0.0455,0.021,5757,1.52,1.19
HATS-8 b,HATS-8,3.583893,9.785457,43.86054,1324,0.04667,0.376,5679,1.086,1.056
TOI-776 c,TOI-776,15.6653,2.02,5.3,415,0.1,0.04,3709,0.538,0.544
HAT-P-39 b,HAT-P-39,3.54387,17.609,190.372,1752,0.0509,0,6430,1.625,1.404
HAT-P-44 b,HAT-P-44,4.301219,13.922,111.871,1108,0.0507,0.044,5295,0.949,0.942
TOI-5232 b,TOI-5232,4.0966692,12.778238,743.7184724,1772,0.05593,0.035,6500,1.785,1.389
TOI-1759 b,TOI-1759,18.85018,3.12029598,15,387.96,0.115,0,3930,0.5745,0.5666
NGTS-31 b,NGTS-31,4.162734,18.04645893,355.9678158,1410,0.064,0,5710,1.7,0.96
WASP-180 A b,WASP-180 A,3.409264,13.89916,286.047,1540,0.048,0,6600,1.19,1.3
TOI-1798.02,TOI-1798,0.4378146,1.39939037,5.6,1935.83,0.0107,0,5106,0.7911,0.8543
TOI-1695 b,TOI-1695,3.1342791,1.9,6.36,698,0.033548,0.097,3690,0.515,0.513
NGTS-8 b,NGTS-8,2.4997,12.21781,295.5819,1345,0.035,0.01,5241,0.98,0.89
K2-232 b,K2-232,11.168459,11.859122,123.00021,1001,0.0991,0.255,5888,1.233,1.039
HD 15337 b,HD 15337,4.75615,1.64,7.51,1001,0.0522,0.09,5125,0.856,0.9
HD 15337 c,HD 15337,17.1784,2.39,8.11,642,0.1268,0.05,5125,0.856,0.9
LTT 9779 b,LTT 9779,0.792052,4.72,29.32,1978,0.01679,0,5443,0.949,1.02
WASP-76 b,WASP-76,1.809886,20.51247,292.4036,2160,0.033,0,6250,1.73,1.46
TOI-270 b,TOI-270,3.3601538,1.206,1.58,581,0.03197,0.034,3506,0.378,0.386
TOI-270 c,TOI-270,5.6605731,2.355,6.15,488,0.04526,0.027,3506,0.378,0.386
TOI-270 d,TOI-270,11.379573,2.133,4.78,387,0.0721,0.032,3506,0.378,0.386
TOI-1201 b,TOI-1201,2.4919863,2.415,6.28,703,0.0287,0,3476,0.508,0.512
Qatar-9 b,Qatar-9,1.540731,11.309881,378.2177,1134,0.0234,0,4309,0.696,0.719
TOI-5293 A b,TOI-5293 A,2.930289,11.9,170.4,675,0.034,0.38,3586,0.52,0.54
TOI-1439 b,TOI-1439,27.644,4.2427861,38.5,748.4,0.192,0.157,5841,1.6184,1.2313
KOI-94 e,KOI-94,54.32031,6.56,35,584,0.3046,0.019,6182,1.52,1.277
TOI-2328 b,TOI-2328,17.10197,9.97599282,50.85254512,842,0.127,0.057,5525,0.9,0.95
NGTS-9 b,NGTS-9,4.43527,11.99363,921.707,1448,0.058,0.06,6330,1.38,1.34
HD 89345 b,HD 89345,11.8143,7.263432,38.45743,1068,0.1115,0.22,5622,1.733,1.324
Kepler-107 c,Kepler-107,4.901452,1.597,9.39,1379,0.06064,0,5854,1.447,1.238
NGTS-4 b,NGTS-4,1.3373508,3.18,20.6,1650,0.019,0,5143,0.84,0.75
HD 260655 c,HD 260655,5.70588,1.533,3.09,557,0.04749,0.038,3803,0.439,0.439
TOI-905 b,TOI-905,3.739494,13.125739,211.99261,1192,0.04666,0.024,5570,0.918,0.968
HAT-P-43 b,HAT-P-43,3.332687,14.359,210.395,1361,0.0443,0,5645,1.103,1.048
TOI-1296 b,TOI-1296,3.9443736,14.11645916,95.3,1414.84,0.051,0,5567,1.7031,1.1576
GJ 3090 b,GJ 3090,2.8531054,2.13,3.34,693,0.03165,0.32,3556,0.516,0.519
TOI-421 c,TOI-421,16.06819,5.09,16.42,673.6,0.1189,0.152,5325,0.871,0.852
HD 23472 b,HD 23472,17.667087,2,8.32,543,0.1162,0.072,4684,0.71,0.67
HD 23472 c,HD 23472,29.79749,1.87,3.41,467,0.1646,0.063,4684,0.71,0.67
HD 23472 d,HD 23472,3.97664,0.75,0.55,909,0.04298,0.07,4684,0.71,0.67
HD 23472 e,HD 23472,7.90754,0.818,0.72,723,0.068,0.07,4684,0.71,0.67
HD 23472 f,HD 23472,12.1621839,1.137,0.77,630,0.0906,0.07,4684,0.71,0.67
TOI-2447 b,TOI-2447,69.33684,9.60609646,124.906564,414,0.347,0.17,5730,1.006,1.034
HIP 8152 b,HIP 8152,10.75101,2.56,7.8,855,0.092,0.14,5530,0.95,0.91
HIP 8152 c,HIP 8152,19.6053,2.48,9.4,699,0.138,0.28,5530,0.95,0.91
TOI-5616 b,TOI-5616,2.002849,10.78,624,939,0.0272,0,3996,0.646,0.666
WASP-155 b,WASP-155,3.110413,13.45077684,276.8285425,1468,0.043,0,5660,1.24,1.09
TOI-776 b,TOI-776,8.24661,1.85,4,514,0.0652,0.06,3709,0.538,0.544
HAT-P-46 b,HAT-P-46,4.463129,14.392,156.684,1458,0.0577,0.123,6120,1.396,1.284
TOI-6330 b,TOI-6330,6.8500246,10.89,3179,495,0.05763,0.34,3539,0.49,0.531
HATS-77 b,HATS-77,3.0876262,13.05846252,436.6962312,828.3,0.03607,0.045,4071,0.6428,0.655
XO-6 b,XO-6,3.7650007,23.20263,1398.452,1577,0.0815,0,6720,1.93,1.47
HATS-53 b,HATS-53,3.8537768,15.02006,189.10885,1312,0.04753,0.33,5644,1.101,0.964
KELT-8 b,KELT-8,3.24406,20.84874,275.55861,1675,0.04571,0.035,5754,1.67,1.211
KELT-4 A b,KELT-4 A,2.9895932,19.044091,286.68266,1823,0.04317,0,6206,1.603,1.201
TOI-2088 b,TOI-2088,124.72997,3.6831179,37,300.33,0.472,0,5081,0.8481,0.9027
TRAPPIST-1 g,TRAPPIST-1,12.35294,1.127,1.34,198.6,0.0451,0.061,2559,0.117,0.0802
TOI-125 b,TOI-125,4.65382,2.726,9.5,1037,0.05186,0.194,5320,0.848,0.859
Qatar-4 b,Qatar-4,1.8053564,12.722215,1938.763,1385,0.02803,0,5215,0.849,0.896
TOI-2169 A b,TOI-2169 A,8.2148282,12.50922246,329.5880581,1364,0.0896,0.045,6270,1.82,1.42
HATS-25 b,HATS-25,4.2986432,14.12334,194.82979,1277,0.05163,0.176,5715,1.107,0.994
TOI-6651 b,TOI-6651,5.056973,5.09,61,1493,0.0633,0.091,5940,1.721,1.323
Kepler-75 b,Kepler-75,8.884924,11.55,3146.4,850,0.08,0.569,5330,0.88,0.88
HAT-P-17 b,HAT-P-17,10.338523,11.321,169.71,792,0.0882,0.342,5246,0.838,0.857
TOI-1136 e,TOI-1136,18.80693,2.5456702,24,669.11,0.14,0,5805,0.9573,1.0404
WASP-168 b,WASP-168,4.153658,16.8135,133.4886,1340,0.0519,0,6000,1.12,1.08
TOI-2158 b,TOI-2158,8.60077,10.76062147,260.6192937,1188,0.075,0.07,5673,1.41,1.12
TOI-4603 b,TOI-4603,7.24599,11.67975789,4096.808166,1677,0.0888,0.325,6264,2.738,1.765
K2-131 b,K2-131,0.3693038,1.69,7.9,2223,0.00936,0,5120,0.7595,0.803
HATS-66 b,HATS-66,3.1414391,15.815899,1694.0339,1998,0.04714,0.064,6626,1.841,1.411
K2-285 b,K2-285,3.471745,2.59,9.68,1088.9,0.03817,0,4975,0.787,0.83
TOI-5153 b,TOI-5153,20.33003,11.88151954,1036.120607,906,0.158,0.091,6300,1.4,1.24
TOI-1052 b,TOI-1052,9.139703,2.87,16.9,1135,0.09103,0.18,6146,1.264,1.204
TOI-5205 b,TOI-5205,1.630757,11.6,343,737,0.0199,0.02,3430,0.394,0.392
HATS-52 b,HATS-52,1.36665436,15.490838,711.9392,1834,0.02498,0.246,6010,1.046,1.111
K2-329 b,K2-329,12.4551225,8.675766,82.6358,650,0.1016,0.0697,5282,0.822,0.901
HAT-P-33 b,HAT-P-33,3.474474,18.898,242.176,1782,0.0499,0,6446,1.637,1.375
TOI-521 b,TOI-521,1.54285047,1.98,5.3,794,0.0195,0,3544,0.421,0.42
NGTS-1 b,NGTS-1,2.647298,14.90797,258.07796,790,0.0326,0.016,3916,0.573,0.617
TOI-1820 b,TOI-1820,4.860674,12.778238,731.0053361,1375,0.061,0.043,5734,1.51,1.04
TOI-6383 A b,TOI-6383 A,1.79058695,11.29,331,745,0.02292,0.05,3444,0.457,0.458
K2-3 c,K2-3,24.646582,1.69,3.3,381,0.1414,0.095,3835,0.6,0.62
TOI-1467 b,TOI-1467,5.97199,1.6759955,9,506.07,0.0495,0,3776,0.4565,0.4518
LTT 3780 b,LTT 3780,0.768377,1.35,2.34,1000,0.01203,0.064,3360,0.382,0.379
TOI-1075 b,TOI-1075,0.6047328,1.791,9.95,1323,0.01159,0,3875,0.581,0.604
WASP-106 b,WASP-106,9.289715,12.162,611.797,1140,0.0917,0,6055,1.393,1.192
WASP-130 b,WASP-130,11.55098,9.97601,390.9309,833,0.1012,0,5625,0.96,1.04
K2-287 b,K2-287,14.893291,9.494023,100.11645,804,0.1206,0.478,5695,1.07,1.056
TOI-1288 b,TOI-1288,2.6998279,4.96846551,44.1,1203.44,0.0374,0,5388,0.9583,0.9552
TOI-4406 b,TOI-4406,30.08364,11.2089807,95.3485221,904,0.201,0.15,6219,1.29,1.19
GJ 367 b,GJ 367,0.3219225,0.699,0.633,1365,0.00709,0.06,3522,0.458,0.455
TOI-2498 b,TOI-2498,3.738252,6.06,34.62,1443,0.0491,0.089,5905,1.26,1.12
TOI-1443 b,TOI-1443,23.540678,2.30381001,30,520.66,0.147,0,5224,0.7511,0.7663
HATS-76 b,HATS-76,1.9416423,12.09449018,835.570882,939.8,0.02658,0.062,4016,0.6259,0.662
Kepler-102 c,Kepler-102,7.071392,0.567,1.7,777,0.06702,0.094,4909,0.724,0.803
TOI-3160 A b,TOI-3160 A,3.971281,13.7646283,378.2158043,1539,0.0505,0.18,6190,1.346,1.088
TOI-3331 A b,TOI-3331 A,2.0180231,12.97999965,721.4704839,1488,0.03144,0,5609,0.952,1.016
Kepler-41 b,Kepler-41,1.8555582,14.46,177.98,1790,0.03101,0,5750,1.29,1.15
WASP-124 b,WASP-124,3.37265,13.89916,190.698,1400,0.0449,0.017,6050,1.02,1.07
HD 20329 b,HD 20329,0.926118,1.72,7.42,2141,0.018,0,5596,1.13,0.9
HD 135694 b,HD 135694,15.92346,2.51,5.7,815,0.12,0.42,5710,1.05,0.9
TOI-1803 b,TOI-1803,6.293287,2.99,10.32,747,0.06,0,4687,0.715,0.756
WASP-184 b,WASP-184,5.1817,14.90797,181.1631,1480,0.0627,0,6000,1.65,1.23
TOI-2120 b,TOI-2120,5.7998164,2.122,6.8,384,0.0377,0.32,3131,0.245,0.211
TOI-1173 b,TOI-1173,7.06466,9.19,27.4,868,0.0696,0.023,5350,0.934,0.911
LHS 1140 b,LHS 1140,24.73723,1.73,5.6,226,0.0946,0.043,3096,0.2159,0.1844
NGTS-12 b,NGTS-12,7.532806,11.747032,66.10864,1257,0.0757,0,5690,1.589,1.021
LTT 1445 A b,LTT 1445 A,5.3587657,1.305,2.87,424,0.03813,0.11,3340,0.265,0.257
K2-295 b,K2-295,4.024867,10.054473,106.47305,852,0.0451,0,4444,0.7,0.74
TOI-5788 b,TOI-5788,6.340758,1.528,3.72,910,0.064,0.061,5615,0.87,0.87
TOI-5788 c,TOI-5788,16.213362,2.272,6.4,667,0.1197,0.046,5615,0.87,0.87
WASP-68 b,WASP-68,5.084298,13.9,301.93,1490,0.06206,0,5911,1.69,1.24
TOI-954 b,TOI-954,3.6849729,9.550068,55.30242,1526,0.04963,0.14,5710,1.892,1.201
Kepler-93 b,Kepler-93,4.72673978,1.478,4.66,1133,0.05343,0,5669,0.919,0.911
HAT-P-34 b,HAT-P-34,5.452654,13.417,1057.694,1520,0.0677,0.441,6442,1.535,1.392
Qatar-5 b,Qatar-5,2.8792319,12.408363,1373.0256,1415,0.04127,0,5747,1.076,1.128
HATS-70 b,HATS-70,1.8882378,15.513256,4100.007,2730,0.03632,0.18,7930,1.881,1.78
TOI-2093 c,TOI-2093,53.81149,2.3,15.8,329,0.257,0,4426,0.729,0.745
HATS-64 b,HATS-64,4.908897,18.819911,305.1168,1793,0.06562,0.151,6554,2.113,1.564
TOI-1221 b,TOI-1221,91.68278,2.91,1112.399425,440,0.387,0.21,5592,1.031,0.93
HAT-P-4 b,HAT-P-4,3.056536,14.28,213.255,1686,0.04438,0,5860,1.596,1.248
CoRoT-4 b,CoRoT-4,9.20205,13.34,228.83,1074,0.09,0,6190,1.17,1.16
TOI-2524 b,TOI-2524,7.18585,11.2089807,203.4101805,1100,0.073,0,5831,1.119,1.007
TOI-2025 b,TOI-2025,8.872078,12.52043144,1398.444991,1167,0.092,0.41,5880,1.56,1.32
TOI-669 b,TOI-669,3.945152,2.58606487,10,1124.85,0.048,0,5597,0.9882,0.9245
NGTS-13 b,NGTS-13,4.119027,12.800678,1538.2972,1605,0.0549,0.086,5819,1.788,1.3
TOI-1260 d,TOI-1260,16.608164,3.12,11.84,499,0.1116,0,4227,0.672,0.679
GJ 1252 b,GJ 1252,0.5182349,1.193,2.09,1089,0.00916,0,3458,0.391,0.381
TOI-1174 b,TOI-1174,8.953458,2.5064654,32,713.83,0.08,0,5158,0.7847,0.8425
TRAPPIST-1 c,TRAPPIST-1,2.4218233,1.056,1.38,341.9,0.01521,0.083,2559,0.117,0.0802
HAT-P-13 b,HAT-P-13,2.91626,14.359,271.098,1653,0.0427,0.021,5653,1.56,1.22
HAT-P-40 b,HAT-P-40,4.457243,19.392,195.457,1770,0.0608,0,6080,2.206,1.512
WASP-77 A b,WASP-77 A,1.36002854,13.78704626,529.8199545,1715,0.02335,0.0074,5617,0.91,0.903
WASP-80 b,WASP-80,3.06785234,11.197791,170.99254,825,0.0344,0.002,4143,0.586,0.577
AU Mic c,AU Mic,18.859019,3.24,13.6,454,0.1101,0,3700,0.75,0.5
WASP-95 b,WASP-95,2.184673,13.56,359.13,1570,0.03416,0,5630,1.13,1.11
K2-32 c,K2-32,20.6602,3.01,12.1,619,0.1399,0,5275,0.845,0.856
K2-285 d,K2-285,10.45582,2.48,6.5,619.9,0.1178,0,4975,0.787,0.83
HAT-P-12 b,HAT-P-12,3.2130598,10.749,67.059,963,0.0384,0,4650,0.701,0.733
TOI-6016 b,TOI-6016,4.023687,13.67495645,371.8592362,1890,0.055,0,6110,1.51,1.31
TOI-1775 b,TOI-1775,10.2405549,8.04728896,96,707.89,0.08,0,5284,0.8288,0.9218
TOI-2015 b,TOI-2015,3.348968,3.39,16.4,512,0.0301,0,3194,0.333,0.342
TOI-4145 A b,TOI-4145 A,4.0664428,13.30506009,136.666215,1074,0.04823,0,5281,0.859,0.905
HATS-28 b,HATS-28,3.1810781,13.383546,213.58176,1253,0.04131,0.202,5498,0.922,0.929
TOI-912 b,TOI-912,4.6780691,1.93,5.1,551,0.041,0.58,3572,0.419,0.418
TOI-5398 c,TOI-5398,4.77271,3.52,11.8,1242,0.057,0.14,6000,1.051,1.146
TOI-5422 b,TOI-5422,5.377219,9.10169233,8899.195396,1369,0.0619,0.094,5820,1.474,1.066
HAT-P-8 b,HAT-P-8,3.0763776,16.81,483.08,1700,0.0487,0,6200,1.58,1.28
Kepler-5 b,Kepler-5,3.54846,16.04,671.864,1868,0.05064,0.024,6297,1.793,1.374
HAT-P-22 b,HAT-P-22,3.21222,12.106,682.352,1283,0.0414,0.016,5302,1.04,0.916
WASP-6 b,WASP-6,3.36100208,13.78707,154.14755,1184,0.0414,0.054,5375,0.864,0.836
Kepler-6 b,Kepler-6,3.234723,14.83,212.619,1500,0.04567,0,5647,1.391,1.209
HATS-27 b,HATS-27,4.637038,16.8135,168.4499,1659,0.0611,0.581,6438,1.74,1.415
KELT-3 b,KELT-3,2.7033904,15.076,469.415,1816,0.04122,0,6306,1.472,1.278
WASP-17 b,WASP-17,3.735438,22.317119,154.46538,1771,0.0515,0.028,6650,1.572,1.306
WASP-97 b,WASP-97,2.07276,12.67,419.52,1555,0.03303,0,5640,1.06,1.12
HIP 9618 b,HIP 9618,20.772907,3.9,10,663.4,0.1438,0.22,5609,0.9662,1.022
KELT-7 b,KELT-7,2.7347749,17.183397,406.8224,2048,0.04415,0,6789,1.732,1.535
KELT-11 b,KELT-11,4.73620865,15.13212395,65.15482343,1712,0.0623,0,5375,2.69,1.44
WASP-28 b,WASP-28,3.40883,13.597,288.26,1468,0.04469,0,6150,1.094,1.021
KOI-13 b,KOI-13,1.763588,16.948008,2949.4624,2550,0.03641,0.00064,7650,1.74,1.72
TOI-7510 b,TOI-7510,11.530869,7.31,18.1,878,0.1019,0.0572,5720,1.035,1.063
WASP-96 b,WASP-96,3.4252602,13.45,152.55,1285,0.0453,0,5540,1.05,1.06
Ross 176 b,Ross 176,5.0066338,1.84,4.57,682,0.0464,0.25,4041,0.569,0.577
TOI-1811 b,TOI-1811,3.7130765,11.14172682,308.9292116,962.2,0.04389,0.052,4766,0.769,0.817
GJ 1132 b,GJ 1132,1.62892911,1.19151465,1.83704819,583.8,0.0157,0.0118,3229,0.2211,0.1945
K2-114 b,K2-114,11.390931,10.59248676,638.8350981,701.4,0.0944,0.079,4899,0.832,0.863
TOI-2876 b,TOI-2876,6.2996431,9.6397234,54.03082919,929,0.0654,0.13,5271,0.873,0.939
TOI-172 b,TOI-172,9.47725,10.816685,1722.6386,1198,0.0914,0.3806,5645,1.777,1.128
NGTS-30 b,NGTS-30,98.29838,10.40193409,305.1152707,500,0.408,0.294,5455,0.913,0.94
TIC 393818343 b,TIC 393818343,16.24921,12.18416202,1379.375286,805.5,0.1291,0.6058,5756,1.086,1.082
K2-32 b,K2-32,8.99213,5.13,16.5,817,0.08036,0,5275,0.845,0.856
TOI-3523 A b,TOI-3523 A,2.30458952,15.9727975,435.4249176,1984,0.03559,0.047,6450,1.448,1.131
WASP-148 b,WASP-148,8.80381,8.092898,92.48853,940,0.0845,0.22,5460,1.03,1
TOI-1937 A b,TOI-1937 A,0.94667944,13.97759893,638.8350981,2097,0.01932,0,5814,1.08,1.072
TOI-1107 b,TOI-1107,4.0782387,14.57167491,1064.725163,1728,0.0561,0.025,6311,1.81,1.35
WASP-82 b,WASP-82,2.705785,19.17,397.27,2200,0.0448,0,6480,2.219,1.64
TOI-1259 A b,TOI-1259 A,3.477978,11.45557828,140.1623275,963,0.0407,0,4775,0.711,0.744
TOI-2196 b,TOI-2196,1.1947268,3.51,26,1860,0.02234,0,5634,1.043,1.032
HAT-P-56 b,HAT-P-56,2.7908327,16.432394,692.8694,1840,0.0423,0.246,6566,1.428,1.296
TOI-1180 b,TOI-1180,9.686753,3.03617429,10,638.18,0.082,0,4804,0.7425,0.7795
HATS-34 b,HATS-34,2.1061607,16.02887,299.07803,1445,0.03166,0.108,5380,0.98,0.955
WASP-162 b,WASP-162,9.62468,11.209,1652.716,910,0.0871,0.434,5300,1.11,0.95
WASP-71 b,WASP-71,2.903676,15.13212395,680.152791,2016.1,0.046,0,6050,2.17,1.53
Kepler-8 b,Kepler-8,3.52254,15.906,191.643,1764,0.0483,0,6213,1.486,1.213
TOI-2236 b,TOI-2236,3.5315902,14.36991326,502.1688831,1688,0.05009,0,6248,1.573,1.343
TOI-2000 c,TOI-2000,9.127055,8.14,81.7,1038,0.0878,0.063,5611,1.134,1.082
K2-97 b,K2-97,8.407115,13.45077684,174.4877954,1566,0.0854,0.207,4673,4.14,1.17
Kepler-102 e,Kepler-102,16.1456994,2.17,4.7,590,0.1162,0.089,4909,0.724,0.803
NGTS-14 A b,NGTS-14 A,3.5357173,4.976796,29.24036,1143,0.0403,0,5187,0.842,0.898
KPS-1 b,KPS-1,1.706291,11.54527,346.4347,1459,0.0269,0,5165,0.907,0.892
HD 25463 c,HD 25463,3.04405,1.5,4.1,1707,0.0435,0,6220,1.41,1.19
TOI-1411 b,TOI-1411,1.4520527,1.19880592,2,976.4,0.02122,0,4115,0.614,0.6045
WASP-154 b,WASP-154,3.811678,10.76062147,198.9605828,994,0.044,0,4774,0.823,0.8
K2-12 b,K2-12,8.28246,2.44,5.2,1026,0.0792,0.5,5672,1.117,0.965
EPIC 249893012 b,EPIC 249893012,3.5951,1.95,8.75,1616,0.047,0.06,5430,1.71,1.05
NGTS-25 b,NGTS-25,2.823093,11.46678726,203.0923521,1101,0.0388,0,5321,0.86,0.91
Kepler-51 b,Kepler-51,45.154,7.1,2.1,543,0.2514,0.04,6018,0.94,1.04
Kepler-51 d,Kepler-51,130.194,9.7,7.6,381,0.509,0.008,6018,0.94,1.04
CoRoT-6 b,CoRoT-6,8.886593,13.068,940.74,1017,0.0855,0.1,6090,1.025,1.05
CoRoT-24 b,CoRoT-24,5.1134,3.7,5.7,1070,0.056,0,4950,0.86,0.91
K2-38 b,K2-38,4.01593,1.54,7.3,1266,0.04994,0.197,5731,1.06,1.03
WASP-157 b,WASP-157,3.9516205,11.937585,182.43442,1339,0.0529,0,5838,1.134,1.26
Kepler-21 b,Kepler-21,2.78578,1.639,5.08,2025,0.0427172,0.02,6305,1.902,1.408
K2-107 b,K2-107,3.31392,16.14096,266.9772,1780,0.048,0,6030,1.78,1.3
K2-36 b,K2-36,1.422614,1.43,3.9,1224,0.0223,0,4916,0.718,0.79
K2-111 b,K2-111,5.3518,1.82,5.58,1309,0.0565,0.1,5775,1.25,0.84
K2-229 b,K2-229,0.584249,1.164,2.59,1960,0.012888,0,5185,0.793,0.837
PH2 b,PH2,282.52542,9.33708092,87.08498352,295.1,0.833,0.215,5734,0.949,0.966
CoRoT-35 b,CoRoT-35,3.22748,18.83108758,349.6112477,1747,0.0429,0,6390,1.65,1.01
Kepler-20 b,Kepler-20,3.69611525,1.868,9.7,1105,0.0463,0.03,5495,0.9639,0.948
Kepler-39 b,Kepler-39,21.08721,13.9,6388.1,897,0.164,0.112,6350,1.4,1.29
Kepler-36 c,Kepler-36,16.23855,3.679,8.08,928,0.1283,0.033,5911,1.626,1.071
G 9-40 b,G 9-40,5.7459982,1.9,4,440.6,0.0418,0,3395,0.3026,0.2952
KELT-21 b,KELT-21,3.6127647,17.777474,1242.7153,2051,0.05224,0,7598,1.638,1.458
CoRoT-27 b,CoRoT-27,3.57532,11.287,3302.11,1500,0.0476,0.065,5900,1.08,1.05
K2-36 c,K2-36,5.340888,3.2,7.8,788,0.054,0,4916,0.718,0.79
TOI-1444 b,TOI-1444,0.4702743,1.41792246,3.58,2130.02,0.0116,0,5460,0.9105,0.9513
K2-115 b,K2-115,20.2729914,11.80305668,321.0066911,696,0.1415,0.063,5870,0.855,0.918
Kepler-553 c,Kepler-553,328.24017,11.57887706,2129.450327,251,0.898,0.346,5191,0.902,0.889
Kepler-20 d,Kepler-20,77.61184,2.75,20.1,369,0.3453,0.6,5455,0.944,0.912
WTS-1 b,WTS-1,3.352057,16.7,1274.44,1500,0.047,0.1,6250,1.15,1.2
TOI-1181 b,TOI-1181,2.10319365,16.1966394,377,1942.12,0.0364,0,6046,1.9322,1.4577
HAT-P-24 b,HAT-P-24,3.35524,13.922,217.704,1637,0.0465,0.067,6373,1.317,1.191
HAT-P-66 b,HAT-P-66,2.972086,17.82231,248.86089,1896,0.04363,0.09,6002,1.881,1.255
K2-233 c,K2-233,7.06005,1.281,12.81,790,0.06666,0.2002,5033,0.71,0.79
TOI-519 b,TOI-519,1.2652328,11.54525012,147.1545524,687,0.0159,0.33,3322,0.35,0.335
Kepler-103 c,Kepler-103,179.60978,5.45,38,434,0.6639,0.095,6009,1.492,1.212
Kepler-278 c,Kepler-278,51.111,3.268,34.9,492,0.287,0.616,4965,2.861,1.227
TOI-4515 b,TOI-4515,15.266446,12.17,637,705,0.118,0.461,5433,0.86,0.949
K2-132 b,K2-132,9.1708,12.206601,157.32585,1586,0.0916,0.29,4878,4.11,1.19
Kepler-1661 b,Kepler-1661,175.06,3.87,17,243,0.633,0.057,5100,0.762,0.841
K2-263 b,K2-263,50.818947,2.41,14.9,470,0.2573,0.15,5368,0.85,0.88
